Name,Exchange,Maker,Months,Contracts,Code,Ticked
FCSO,EUREX,Dow Jones-UBS Softs,HMUZ,2,CHRIS/EUREX_FCSO,FALSE
FCXE,EUREX,Dow Jones-UBS EX Energy Index,HMUZ,2,CHRIS/EUREX_FCXE,FALSE
FDAX,EUREX,DAX,HMUZ,3,CHRIS/EUREX_FDAX,FALSE
FDIV,EUREX,TecDAX,HMUZ,3,CHRIS/EUREX_FDIV,FALSE
FDM,CME,MISO Indiana Hub Day-Ahead Off-Peak Calendar-Month 5 MW,FGHJKMNQUVXZ,10,CHRIS/CME_FDM,FALSE
FEAA,EUREX,EUAA,Z,2,CHRIS/EUREX_FEAA,FALSE
FEDV,EUREX,EURO STOXX Select Dividend 30 Index,HMUZ,2,CHRIS/EUREX_FEDV,FALSE
FEF,LIFFE,FTSEUROFIRST 80 Index,HMUZ,2,CHRIS/LIFFE_FEF,FALSE
FEF,SGX,Iron Ore,FGHJKMNQUVXZ,2,CHRIS/SGX_FEF,FALSE
FEO,LIFFE,FTSEUROFIRST 100 Index,HMUZ,2,CHRIS/LIFFE_FEO,FALSE
FEO1,EUREX,1-month EONIA,FGHJKMNQUVXZ,2,CHRIS/EUREX_FEO1,FALSE
FEPP,EUREX,Potatos,JMX,2,CHRIS/EUREX_FEPP,FALSE
FERU,EUREX,ERU,Z,2,CHRIS/EUREX_FERU,FALSE
FESX,EUREX,EURO STOXX 50 Index,HMUZ,3,CHRIS/EUREX_FESX,FALSE
FEU3,EUREX,3-month EURIBOR,HMUZ,2,CHRIS/EUREX_FEU3,FALSE
FEXD,EUREX,EURO STOXX 50 Index Dividend,Z,10,CHRIS/EUREX_FEXD,FALSE
FEXF,EUREX,EURO STOXX 50 ex Financials Index,HMUZ,2,CHRIS/EUREX_FEXF,FALSE
FF,CME,30 Day Fed Funds,FGHJKMNQUVXZ,24,CHRIS/CME_FF,FALSE
FFOX,EUREX,OMXH25 Index,HMUZ,2,CHRIS/EUREX_FFOX,FALSE
FGBL,EUREX,Euro-Bund,HMUZ,2,CHRIS/EUREX_FGBL,FALSE
FGBM,EUREX,Euro-Bobl,HMUZ,2,CHRIS/EUREX_FGBM,FALSE
FGBS,EUREX,Euro-Schatz,HMUZ,2,CHRIS/EUREX_FGBS,FALSE
FGBX,EUREX,Euro-Buxl,HMUZ,2,CHRIS/EUREX_FGBX,FALSE
FH,CME,WTS (Argus) vs. WTI Trade Month,FGHJKMNQUVXZ,2,CHRIS/CME_FH,FALSE
FHOG,EUREX,Hogs,FGHJKMNQUVXZ,2,CHRIS/EUREX_FHOG,FALSE
FI,CME,1% Fuel Oil Cargoes FOB NWE (Platts) Crack Spread,HJKMNQUVXZ,2,CHRIS/CME_FI,FALSE
FMAS,EUREX,MSCI AC Asia Pacific ex Japan Index Futures,HMUZ,2,CHRIS/EUREX_FMAS,FALSE
FMCL,EUREX,MSCI Chile Index,HMUZ,2,CHRIS/EUREX_FMCL,FALSE
FMCN,EUREX,MSCI China Free Index,HMUZ,2,CHRIS/EUREX_FMCN,FALSE
FMCO,EUREX,MSCI Columbia Index,HMUZ,2,CHRIS/EUREX_FMCO,FALSE
FMCZ,EUREX,MSCI Czech Republic Index,HMUZ,2,CHRIS/EUREX_FMCZ,FALSE
FMEA,EUREX,MSCI Emerging Markets Asia Index,HMUZ,2,CHRIS/EUREX_FMEA,FALSE
FMEE,EUREX,MSCI Emerging Markets EMEA Index,HMUZ,2,CHRIS/EUREX_FMEE,FALSE
FMEL,EUREX,MSCI Emerging Markets Latin America Index,HMUZ,2,CHRIS/EUREX_FMEL,FALSE
FMEM,EUREX,MSCI Emerging Markets Index,HMUZ,2,CHRIS/EUREX_FMEM,FALSE
FMEU,EUREX,MSCI Europe Index,HMUZ,2,CHRIS/EUREX_FMEU,FALSE
FMEY,EUREX,MSCI Egypt Index,HMUZ,2,CHRIS/EUREX_FMEY,FALSE
FMFM,EUREX,MSCI Frontier Markets Index,HMUZ,2,CHRIS/EUREX_FMFM,FALSE
FMHU,EUREX,MSCI Hungary Index,HMUZ,2,CHRIS/EUREX_FMHU,FALSE
FMIN,EUREX,MSCI India Index,HMUZ,2,CHRIS/EUREX_FMIN,FALSE
FMJP,EUREX,MSCI Japan Index,HMUZ,2,CHRIS/EUREX_FMJP,FALSE
FMMA,EUREX,MSCI Morocco Index,HMUZ,2,CHRIS/EUREX_FMMA,FALSE
FMMX,EUREX,MSCI Mexico Index,HMUZ,2,CHRIS/EUREX_FMMX,FALSE
FMMY,EUREX,MSCI Malaysia Index,HMUZ,2,CHRIS/EUREX_FMMY,FALSE
FMPE,EUREX,MSCI Peru Index,HMUZ,2,CHRIS/EUREX_FMPE,FALSE
